ticket_id,date_creation,date_resolution,statut,priorite,categorie,sous_categorie,sujet,description,solution_apportee,agent,satisfaction_client,temps_resolution_heures
TK-2026-0001,2026-01-03 08:12,2026-01-03 09:45,Résolu,P3,Compte,Mot de passe,Impossible de se connecter après changement de mot de passe,"Le client indique qu'il a changé son mot de passe hier soir et qu'il ne peut plus se connecter ce matin. Erreur : 'Identifiants incorrects'","Vérification dans admin : le client avait saisi son ancien mot de passe dans le champ 'nouveau mot de passe'. Réinitialisation effectuée et nouveau mot de passe envoyé. Client reconnecté avec succès.",Marie Dupont,5,1.5
TK-2026-0002,2026-01-03 10:30,2026-01-04 11:00,Résolu,P2,Facturation,Contestation facture,"Contestation facture janvier 2026 — montant 199€ au lieu de 79€","Client sur plan Pro (79€/mois) a reçu une facture Business (199€/mois). Il n'a pas demandé de changement de plan.","Vérification : une migration automatique erronée a été déclenchée suite à un bug du 02/01. Avoir de 120€ créé. Plan remis en Pro. Incident remonté à l'équipe technique.",Thomas Martin,4,24.5
TK-2026-0003,2026-01-04 14:22,2026-01-04 15:10,Résolu,P3,Technique,Performance,"Application lente depuis ce matin","Temps de chargement > 30 secondes sur toutes les pages. Le problème touche 3 utilisateurs de la même entreprise.","Vérification status.techvision.fr : aucun incident. Demande de diagnostic : tous les utilisateurs sur le même réseau WiFi entreprise. Solution : passer en filaire ou contacter le service IT pour optimiser la bande passante. Problème réseau client.",Sophie Bernard,3,0.8
TK-2026-0004,2026-01-05 09:00,2026-01-05 09:30,Résolu,P3,Compte,Email confirmation,"Email de confirmation non reçu à l'inscription","Nouveau client inscrit hier soir, n'a toujours pas reçu l'email de confirmation malgré 3 tentatives de renvoi.","Vérification : domaine entreprise client (acme-corp.fr) bloque les emails externes. Conseillé de contacter le service IT pour whitelist techvision.fr. En attendant : confirmation manuelle du compte effectuée depuis l'admin.",Pierre Leroy,5,0.5
TK-2026-0005,2026-01-06 11:15,2026-01-07 16:00,Résolu,P1,Sécurité,Accès non autorisé,"Accès suspect au compte — connexions depuis l'étranger","Client signale des connexions depuis l'Inde et le Brésil alors qu'il est basé en France. Il n'est pas à l'origine de ces connexions.","URGENCE SÉCURITÉ : compte suspendu immédiatement. Toutes les sessions révoquées. Mot de passe réinitialisé. Ticket SEC-BREACH créé. Équipe sécurité notifiée. Analyse des logs en cours. Client rappelé sous 15 minutes. Recommandation : activer l'authentification 2 facteurs.",Julie Moreau,5,29
TK-2026-0006,2026-01-07 08:45,2026-01-07 10:00,Résolu,P3,Abonnement,Résiliation,"Demande de résiliation abonnement Pro","Client souhaite résilier son abonnement Pro (79€/mois). Motif : trop cher, utilise peu la solution.","Tentative de rétention : offre FIDELITE20 proposée (20% de réduction pendant 3 mois = 63,20€/mois). Client a accepté. Résiliation annulée. Code promo appliqué. Suivi prévu dans 3 mois.",Marc Petit,4,1.25
TK-2026-0007,2026-01-08 13:20,2026-01-09 09:00,Résolu,P2,Technique,Intégration API,"Intégration Zapier ne fonctionne plus depuis hier","Les automatisations Zapier du client ne s'exécutent plus. Erreur : 'API key invalid or expired'","Vérification : clé API du client expirée (durée de vie 90 jours — politique de sécurité). Nouvelle clé générée et transmise de façon sécurisée via le portail admin. Instructions de mise à jour dans Zapier envoyées par email.",Claire Simon,4,19.7
TK-2026-0008,2026-01-09 10:00,2026-01-09 10:45,Résolu,P3,Facturation,Changement plan,"Demande de passage plan Starter vers plan Business","PME de 45 salariés dépasse les 25 utilisateurs du plan Pro. Souhaite passer en Business.","Upgrade immédiat vers plan Business (199€/mois). Facturation au prorata : 12 jours restants dans le mois = 77,03€ de différence facturés immédiatement. Client informé et accord confirmé par email.",Nicolas Roux,5,0.75
TK-2026-0009,2026-01-10 15:30,2026-01-13 11:00,Résolu,P1,Données,Perte de données,"Données de 2 projets disparues après mise à jour","Après la mise à jour de ce matin, le client ne trouve plus 2 projets importants contenant 150 documents.","PRIORITÉ P1 : escalade immédiate à l'équipe technique. Analyse des logs : données présentes en base, problème d'affichage suite au déploiement v4.2.1. Patch correctif déployé sous 6h. Données retrouvées intactes. Client informé et rassuré.",Emma Fontaine,5,67.5
TK-2026-0010,2026-01-12 09:00,2026-01-12 09:20,Résolu,P4,Compte,Export données,"Comment exporter toutes mes données en CSV","Client souhaite exporter l'ensemble de ses données pour une analyse externe sous Excel.","Guidé pas à pas : Paramètres → Mon compte → Données → Export → Format CSV. Délai de génération : 12 minutes (volume moyen). Client a reçu le lien de téléchargement et confirmé le succès.",Lucie Garnier,5,0.33
